domain,merchant_name,merchant_category,country_code,region,readiness_score,protocol_score,data_score,accessibility_score,checkout_score
nike.com,Nike,retail,US,north_america,33,0,35,100,28
adyen.com,Adyen,fintech,NL,europe,33,0,35,75,63
jaggaer.com,Jaggaer,b2b,US,north_america,33,0,35,100,25
article.com,Article,retail,US,north_america,33,4,47,75,28
submarino.com.br,Submarino,retail,BR,latam,32,0,35,100,23
falabella.com.pe,Falabella Peru,retail,PE,latam,32,0,35,100,23
funnel.io,Funnel,saas,SE,europe,32,0,35,100,20
sodimac.cl,Sodimac,retail,CL,latam,32,0,35,100,22
kushki.com,Kushki,fintech,EC,latam,32,0,35,100,20
easy.cl,Easy Chile,retail,CL,latam,32,0,35,100,20
trendyol.com,Trendyol,marketplace,TR,europe,32,0,35,100,23
typeform.com,Typeform,saas,GB,europe,32,0,35,100,23
starlingbank.com,Starling Bank,fintech,GB,europe,32,0,35,100,20
oechsle.pe,Oechsle,retail,PE,latam,32,0,35,100,20
falabella.com.ar,Falabella Argentina,retail,AR,latam,32,0,35,100,23
tokstok.com.br,Tok&Stok,retail,BR,latam,32,0,35,100,23
shein.com.mx,Shein Mexico,retail,MX,latam,32,0,25,100,40
scalable.capital,Scalable Capital,fintech,DE,europe,32,0,35,100,20
mx.com,MX Technologies,fintech,US,north_america,32,0,35,100,23
invu.net,INVU,saas,PA,latam,32,0,35,100,20
oaknorth.com,OakNorth,fintech,GB,europe,32,0,35,100,20
gocardless.com,GoCardless,fintech,GB,europe,32,0,35,100,20
twitch.tv,Twitch,marketplace,US,north_america,32,0,35,100,20
ubereats.com,Uber Eats,restaurant,US,north_america,32,0,35,100,20
ifood.com.br,iFood,marketplace,BR,latam,32,0,35,100,23
razorpay.com,Razorpay,fintech,IN,apac,32,0,35,100,23
pushdoctor.co.uk,Push Doctor,healthcare,GB,europe,32,0,35,100,20
klarna.com,Klarna,fintech,SE,europe,32,0,10,100,65
celonis.com,Celonis,saas,DE,europe,32,0,35,100,20
flixbus.com,FlixBus,travel,DE,europe,32,0,35,100,20
deezer.com,Deezer,media,FR,europe,32,0,35,100,20
riverisland.com,River Island,retail,GB,europe,32,0,35,100,20
alan.com,Alan,healthcare,FR,europe,32,0,35,100,20
factorial.co,Factorial,saas,ES,europe,32,0,35,100,20
qdrant.tech,Qdrant,saas,DE,europe,32,0,35,100,20
phonepe.com,PhonePe,fintech,IN,apac,32,0,35,100,23
dataiku.com,Dataiku,saas,FR,europe,32,0,35,100,20
satispay.com,Satispay,fintech,IT,europe,32,0,35,100,23
cabify.com,Cabify,other,ES,latam,32,0,35,100,20
sendgrid.com,SendGrid,saas,US,north_america,32,0,35,100,20
cohere.com,Cohere,saas,CA,north_america,32,0,35,100,20
falabella.com,Falabella,retail,CL,latam,32,0,35,100,23
vtex.com,VTEX,saas,BR,latam,32,0,35,100,20
buk.cl,Buk,saas,CL,latam,32,0,35,100,20
crehana.com,Crehana,saas,PE,latam,32,0,35,100,23
pismo.io,Pismo,fintech,BR,latam,32,0,35,100,23
hotmart.com,Hotmart,marketplace,BR,latam,32,0,35,100,23
verkkokauppa.com,Verkkokauppa,retail,FI,europe,32,0,35,100,23
freshworks.com,Freshworks,saas,US,north_america,32,0,35,100,20
easypaisa.com.pk,Easypaisa,fintech,PK,apac,32,0,35,100,20
renmoney.com,Renmoney,fintech,NG,africa,32,0,35,100,20
ap.org,Associated Press,media,US,north_america,32,0,35,100,23
zindigi.pk,Zindigi,fintech,PK,apac,32,0,35,100,20
netshoes.com.br,Netshoes,retail,BR,latam,32,0,35,100,23
productboard.com,Productboard,saas,CZ,europe,32,0,35,100,23
seon.io,SEON,fintech,HU,europe,32,0,35,100,20
uipath.com,UiPath,saas,RO,europe,32,0,35,100,20
peloton.com,Peloton,retail,US,north_america,32,0,35,100,20
recurly.com,Recurly,saas,US,north_america,32,0,35,100,23
n26.com,N26,fintech,DE,europe,32,0,35,100,20
quintoandar.com.br,QuintoAndar,other,BR,latam,32,0,35,100,20
hubspot.com,HubSpot,saas,US,north_america,32,0,35,100,20
cumplo.com,Cumplo,fintech,CL,latam,32,0,35,100,23
bancointer.com.br,Banco Inter,fintech,BR,latam,32,0,35,100,23
eluniversal.com.mx,El Universal,media,MX,latam,32,0,35,100,23
bold.co,Bold,fintech,CO,latam,32,0,35,100,23
monzo.com,Monzo,fintech,UK,europe,32,0,35,100,20
monday.com,Monday.com,saas,US,north_america,32,0,35,100,20
shopee.com,Shopee,marketplace,SG,apac,32,0,35,100,20
habi.co,Habi,other,CO,latam,32,0,35,100,20
betterfly.com,Betterfly,healthcare,CL,latam,32,0,35,100,20
tul.com.co,Tul,b2b,CO,latam,32,0,35,100,20
wix.com,Wix,saas,US,north_america,32,0,35,100,23
ikea.com,IKEA,retail,SE,europe,32,0,35,100,20
auth0.com,Auth0,saas,US,north_america,32,0,35,100,20
shein.com,Shein,retail,CN,apac,32,0,25,100,40
skyfire.xyz,Skyfire,fintech,US,north_america,32,0,35,100,20
payman.ai,Payman AI,fintech,US,north_america,32,0,35,100,20
penneo.com,Penneo,saas,DK,europe,32,0,35,100,20
daviplata.com,DaviPlata,fintech,CO,latam,32,0,35,100,20
tiki.vn,Tiki,marketplace,VN,apac,32,0,35,100,23
plin.pe,PLIN,fintech,PE,latam,32,0,35,100,23
root.co.za,Root Insurance,fintech,ZA,africa,32,0,35,100,23
jokr.com,JOKR,marketplace,MX,latam,32,0,35,100,23
gap.com,Gap,retail,US,north_america,32,0,25,100,35
ramp.com,Ramp,fintech,US,north_america,32,0,35,100,20
gympass.com,Gympass,healthcare,BR,latam,32,0,35,100,20
telcel.com,Telcel,telecom,MX,latam,32,0,35,100,20
resend.com,Resend,saas,US,north_america,32,0,35,100,20
halan.com,Halan,fintech,EG,africa,32,0,35,100,20
transfergo.com,TransferGo,fintech,LT,europe,32,0,35,100,20
dub.co,Dub,saas,US,north_america,32,0,35,100,20
stax.io,Stax Payments,fintech,US,north_america,32,0,35,100,20
rappicard.co,RappiCard,fintech,CO,latam,32,0,35,100,20
loggi.com,Loggi,other,BR,latam,32,0,35,100,23
zoom.us,Zoom,saas,US,north_america,32,0,35,100,20
uline.com,Uline,b2b,US,north_america,32,0,35,100,23
coupa.com,Coupa,b2b,US,north_america,32,0,35,100,20
mtn.com,MTN Group,other,ZA,africa,32,0,35,100,20
matchesfashion.com,Matches Fashion,retail,GB,europe,32,16,10,60,73
microsoft.com,Microsoft,saas,US,north_america,32,0,35,100,23
salesforce.com,Salesforce,saas,US,north_america,32,0,35,100,20
madeiramadeira.com.br,MadeiraMadeira,retail,BR,latam,32,0,35,100,20
worldremit.com,WorldRemit,fintech,GB,europe,32,0,35,100,23
layerzero.network,LayerZero,fintech,US,north_america,32,0,35,100,20
workday.com,Workday,saas,US,north_america,32,0,35,100,20
runway.ml,Runway,saas,US,north_america,32,0,35,100,23
americanas.com.br,Americanas,marketplace,BR,latam,32,0,35,100,23
fiserv.com,Fiserv,fintech,US,north_america,32,0,35,100,20
ualabee.com,Uala,fintech,AR,latam,32,0,35,100,20
lyko.com,Lyko,retail,SE,europe,32,0,35,100,20
remote.com,Remote,saas,US,north_america,32,0,35,100,20
treezor.com,Treezor,fintech,FR,europe,32,0,35,95,25
ivalua.com,Ivalua,b2b,FR,europe,32,0,35,100,20
tradeshift.com,Tradeshift,b2b,US,north_america,32,0,35,100,20
gep.com,GEP,b2b,US,north_america,32,0,35,100,20
paragoncoffee.com,Paragon Coffee,retail,US,north_america,32,0,35,100,20
precoro.com,Precoro,b2b,US,north_america,32,0,35,100,20
spacenk.com,Space NK,retail,GB,europe,31,0,25,100,33
hostelworld.com,Hostelworld,travel,GB,europe,31,0,35,85,35
pixmania.com,Pixmania,retail,FR,europe,31,0,35,90,28
talabat.com,Talabat,marketplace,AE,mena,31,0,10,100,55
vivo.com.br,Vivo Brazil,telecom,BR,latam,31,0,35,95,20
creditas.com,Creditas,fintech,BR,latam,31,0,35,95,23
finisterre.com,Finisterre,retail,GB,europe,31,20,0,100,20
tabby.ai,Tabby,fintech,AE,mena,31,0,10,100,55
solana.com,Solana,fintech,US,north_america,31,0,10,100,58
dlocal.com,dLocal,fintech,UY,latam,31,0,10,100,58
biconomy.io,Biconomy,saas,IN,apac,31,0,35,95,20
na-kd.com,NA-KD,retail,SE,europe,31,0,10,100,58
taxfix.de,Taxfix,fintech,DE,europe,31,0,35,95,22
leesa.com,Leesa,retail,US,north_america,31,0,35,75,50
cyberpuerta.mx,Cyberpuerta,retail,MX,latam,30,0,35,85,30
supermart.ng,Supermart,retail,NG,africa,30,20,0,95,20
otto.de,Otto,retail,DE,europe,30,0,25,100,23
ocado.com,Ocado,retail,GB,europe,30,0,25,100,28
qonto.com,Qonto,fintech,FR,europe,30,0,35,100,5
wolt.com,Wolt,restaurant,FI,europe,30,0,35,75,43
trainline.com,Trainline,travel,GB,europe,30,0,25,75,60
99app.com,99 (DiDi Brazil),other,BR,latam,30,0,25,100,23
kuda.com,Kuda Bank,fintech,NG,africa,30,0,25,100,23
elkjop.no,Elkjop,retail,NO,europe,30,0,40,75,30
ft.com,Financial Times,media,GB,europe,30,5,25,90,28
alibaba.com,Alibaba,marketplace,CN,apac,30,0,35,90,20
tamara.co,Tamara,fintech,SA,mena,30,0,10,100,50
shopbop.com,Shopbop,retail,US,north_america,30,0,25,100,23
visa.com,Visa,fintech,US,north_america,30,0,10,95,55
discover.com,Discover,fintech,US,north_america,30,0,25,100,23
younited-credit.com,Younited Credit,fintech,FR,europe,30,0,25,100,23
helixsleep.com,Helix Sleep,retail,US,north_america,30,16,0,70,65
uol.com.br,UOL,media,BR,latam,29,0,35,80,30
abcdin.cl,Abcdin,retail,CL,latam,29,0,35,85,23
kelkoo.com,Kelkoo,marketplace,GB,europe,29,0,35,85,20
wickes.co.uk,Wickes,retail,GB,europe,29,0,22,100,25
kahoot.com,Kahoot,saas,NO,europe,29,0,25,100,20
gitlab.com,GitLab,saas,US,north_america,29,0,35,85,20
dafiti.com.br,Dafiti,retail,BR,latam,29,0,25,100,20
aave.com,Aave,fintech,GB,europe,29,0,25,95,25
tripadvisor.com,TripAdvisor,travel,US,north_america,29,0,35,85,20
paytm.com,Paytm,fintech,IN,apac,29,0,25,100,20
forbes.com,Forbes,other,US,north_america,29,0,35,80,28
travelstart.com,Travelstart,travel,ZA,africa,29,0,25,100,20
hubtel.com,Hubtel,fintech,GH,africa,29,0,35,85,23
bolt.new,Bolt,saas,US,north_america,29,0,35,85,20
moonpay.com,MoonPay,fintech,US,north_america,29,0,35,75,35
nuvemshop.com.br,Nuvemshop,saas,BR,latam,29,0,35,85,20
mulberry.com,Mulberry,retail,GB,europe,29,0,25,100,20
tiendanube.com,Tienda Nube,saas,AR,latam,29,0,35,85,20
alkosto.com,Alkosto,retail,CO,latam,28,0,25,95,20
homedepot.com,Home Depot,retail,US,north_america,28,0,35,75,25
wayfair.co.uk,Wayfair UK,retail,GB,europe,28,0,35,75,28
multiversx.com,MultiversX,fintech,RO,europe,28,0,35,75,25
flutterwave.com,Flutterwave,fintech,NG,africa,28,0,35,80,20
walmartmexico.com,Walmart Mexico,retail,MX,latam,28,0,25,95,20
unieuro.it,Unieuro,retail,IT,europe,28,0,35,75,28
clara.com,Clara,fintech,MX,latam,28,0,35,75,30
kueski.com,Kueski,fintech,MX,latam,28,0,35,75,27
wayfair.com,Wayfair,retail,US,north_america,28,0,35,75,28
bolt.eu,Bolt,marketplace,EE,europe,28,0,35,80,20
wish.com,Wish,marketplace,US,north_america,28,0,35,75,28
totvs.com,TOTVS,saas,BR,latam,28,0,35,75,25
autogpt.net,AutoGPT,saas,US,north_america,28,0,35,75,25
potterybarn.com,Pottery Barn,retail,US,north_america,28,0,0,100,53
nekuda.ai,Nekuda,fintech,US,north_america,28,0,35,80,20
mytheresa.com,Mytheresa,retail,DE,europe,28,0,0,100,55
daraz.pk,Daraz,marketplace,PK,apac,28,0,20,100,20
williams-sonoma.com,Williams Sonoma,retail,US,north_america,28,0,0,100,53
airbnb.com,Airbnb,travel,US,north_america,28,0,35,75,28
mumzworld.com,Mumzworld,retail,AE,mena,28,0,10,100,35
mollie.com,Mollie,fintech,NL,europe,28,0,35,75,28
rappi.com,Rappi,marketplace,CO,latam,27,0,35,75,20
nequi.com,Nequi,fintech,CO,latam,27,0,35,75,23
farmacity.com,Farmacity,retail,AR,latam,27,0,35,75,23
