domain,merchant_name,merchant_category,country_code,region,company_size,readiness_score,protocol_score,data_score,accessibility_score,checkout_score,business_model,ucp_status,acp_status,x402_status,mcp_status,ap2_status,nlweb_status,visa_vic_status,mastercard_status,ecommerce_platform,guest_checkout_available,has_captcha,supports_pix,supports_spei,supports_crypto,robots_allows_agents,robots_blocks_all_bots
rippling.com,Rippling,saas,US,north_america,sme,37,0,55,100,20,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,false,false,false,false,false,false,false
lidl.de,Lidl,retail,DE,europe,enterprise,37,0,55,100,22,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,false,true,false,false,false
peachpayments.com,Peach Payments,fintech,ZA,africa,mid-market,37,0,35,100,58,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,true,false,true,false,true,false,false
cdon.se,CDON,marketplace,SE,europe,mid-market,37,0,35,100,53,marketplace,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,true,false,true,false,false,false,false
dock.tech,Dock,fintech,BR,latam,mid-market,37,0,35,100,53,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,true,false,true,false,false,false,false
temu.com,Temu,marketplace,CN,apac,sme,37,0,35,100,58,marketplace,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,true,false,true,false,true,false,false
konga.com,Konga,marketplace,NG,africa,sme,37,0,35,100,53,marketplace,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,true,false,true,false,false,false,false
payu.com,PayU,fintech,NL,europe,mid-market,37,0,35,100,53,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,true,false,true,false,false,false,false
fondy.eu,Fondy,fintech,UA,europe,mid-market,37,0,35,100,55,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,true,false,false,false,true,false,false
backmarket.com,Back Market,retail,FR,europe,mid-market,36,0,25,100,63,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,true,false,true,false,false,false,false
tymebank.co.za,TymeBank,fintech,ZA,africa,mid-market,36,0,35,100,50,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,true,false,false,false,false,false,false
samsung.com,Samsung,retail,KR,apac,sme,36,0,35,95,58,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,true,false,true,false,true,false,false
lenskart.com,Lenskart,retail,IN,apac,sme,36,0,35,100,50,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,true,false,false,false,false,false,false
homedepot.com.mx,Home Depot Mexico,retail,MX,latam,enterprise,35,0,65,75,28,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,true,true,false,false,false,false
harrods.com,Harrods,retail,GB,europe,enterprise,35,0,59,85,20,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,false,false,false,false,false
very.co.uk,Very,retail,GB,europe,mid-market,35,0,35,95,50,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,true,false,false,false,false,false,false
dunelm.com,Dunelm,retail,GB,europe,mid-market,35,0,43,100,28,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,true,false,false,false,false
nevermined.io,Nevermined,saas,ES,europe,sme,35,0,35,100,40,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,false,false,false,false,true,false,false
getaround.com,Getaround,marketplace,FR,europe,mid-market,35,4,35,100,28,marketplace,not_detected,eligible,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,true,false,false,false,false
elektra.com.mx,Elektra,retail,MX,latam,mid-market,34,0,35,100,33,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,true,false,true,false,false
mercadolibre.com.co,Mercado Libre Colombia,marketplace,CO,latam,sme,34,0,35,100,33,marketplace,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,true,false,true,false,false
mercadolibre.com.ar,Mercado Libre Argentina,marketplace,AR,latam,sme,34,0,35,100,33,marketplace,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,mercadolibre,false,false,true,false,true,false,false
mercadolibre.com.uy,Mercado Libre Uruguay,marketplace,UY,latam,sme,34,0,35,100,33,marketplace,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,true,false,true,false,false
octopus.energy,Octopus Energy,other,GB,europe,sme,34,0,45,100,20,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,false,false,false,false,false
hobbycraft.co.uk,Hobbycraft,retail,GB,europe,mid-market,34,0,35,100,33,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,true,false,true,false,false
mercadolibre.com.mx,Mercado Libre Mexico,marketplace,MX,latam,sme,34,0,35,100,33,marketplace,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,mercadolibre,false,false,true,false,true,false,false
cornershopapp.com,Cornershop,marketplace,MX,latam,sme,34,0,35,70,73,marketplace,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,true,true,true,false,false,false,false
kry.se,Kry,healthcare,SE,europe,sme,34,0,35,100,35,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,false,false,false,false,false,false,false
mercadopago.com.br,Mercado Pago Brazil,fintech,BR,latam,enterprise,34,0,35,100,33,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,false,false,true,false,true,false,false
mercadolivre.com.br,Mercado Livre Brazil,marketplace,BR,latam,sme,34,0,35,100,33,marketplace,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,true,false,true,false,false
block.xyz,Block (Square),fintech,US,north_america,sme,34,0,35,100,33,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,false,false,true,false,true,false,false
alternate.de,Alternate,retail,DE,europe,mid-market,34,0,40,100,28,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,true,false,false,false,false
checkout.com,Checkout.com,fintech,GB,europe,mid-market,34,0,35,100,33,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,false,false,true,false,true,false,false
kayak.com.br,Kayak BR,travel,BR,latam,sme,33,0,35,100,27,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,false,true,true,false,false
contentful.com,Contentful,saas,DE,europe,sme,33,0,35,100,25,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,false,false,true,true,false,false,false
snyk.io,Snyk,saas,GB,europe,sme,33,0,35,100,25,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,false,false,false,false,true,false,false
mobly.com.br,Mobly,retail,BR,latam,sme,33,0,35,100,30,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,true,true,true,false,false
mercury.com,Mercury,fintech,US,north_america,sme,33,0,35,100,30,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,false,false,false,false,true,false,false
